ID,task_id,source,ans_id,instruction_link,answer_link
1,find_scifi_movies,Perplexity_AI,1,https://raw.githubusercontent.com//tzmhuang/M2W2_answers/refs/heads/main/task_instructions/find_scifi_movies/instruction.txt,https://raw.githubusercontent.com/tzmhuang/M2W2_answers/refs/heads/main/answers/find_scifi_movies/Perplexity_AI/1
2,find_scifi_movies,SearchGPT,1,https://raw.githubusercontent.com//tzmhuang/M2W2_answers/refs/heads/main/task_instructions/find_scifi_movies/instruction.txt,https://raw.githubusercontent.com/tzmhuang/M2W2_answers/refs/heads/main/answers/find_scifi_movies/SearchGPT/1
3,find_fellowship,Perplexity_AI,1,https://raw.githubusercontent.com//tzmhuang/M2W2_answers/refs/heads/main/task_instructions/find_fellowship/instruction.txt,https://raw.githubusercontent.com/tzmhuang/M2W2_answers/refs/heads/main/answers/find_fellowship/Perplexity_AI/1
4,find_fellowship,SearchGPT,1,https://raw.githubusercontent.com//tzmhuang/M2W2_answers/refs/heads/main/task_instructions/find_fellowship/instruction.txt,https://raw.githubusercontent.com/tzmhuang/M2W2_answers/refs/heads/main/answers/find_fellowship/SearchGPT/1
5,find_credit_card,Perplexity_AI,1,https://raw.githubusercontent.com//tzmhuang/M2W2_answers/refs/heads/main/task_instructions/find_credit_card/instruction.txt,https://raw.githubusercontent.com/tzmhuang/M2W2_answers/refs/heads/main/answers/find_credit_card/Perplexity_AI/1
6,find_credit_card,SearchGPT,1,https://raw.githubusercontent.com//tzmhuang/M2W2_answers/refs/heads/main/task_instructions/find_credit_card/instruction.txt,https://raw.githubusercontent.com/tzmhuang/M2W2_answers/refs/heads/main/answers/find_credit_card/SearchGPT/1
7,search_disease,Perplexity_AI,1,https://raw.githubusercontent.com//tzmhuang/M2W2_answers/refs/heads/main/task_instructions/search_disease/instruction.txt,https://raw.githubusercontent.com/tzmhuang/M2W2_answers/refs/heads/main/answers/search_disease/Perplexity_AI/1
8,search_disease,SearchGPT,1,https://raw.githubusercontent.com//tzmhuang/M2W2_answers/refs/heads/main/task_instructions/search_disease/instruction.txt,https://raw.githubusercontent.com/tzmhuang/M2W2_answers/refs/heads/main/answers/search_disease/SearchGPT/1
9,develop_meal_plan,Perplexity_AI,1,https://raw.githubusercontent.com//tzmhuang/M2W2_answers/refs/heads/main/task_instructions/develop_meal_plan/instruction.txt,https://raw.githubusercontent.com/tzmhuang/M2W2_answers/refs/heads/main/answers/develop_meal_plan/Perplexity_AI/1
10,develop_meal_plan,SearchGPT,1,https://raw.githubusercontent.com//tzmhuang/M2W2_answers/refs/heads/main/task_instructions/develop_meal_plan/instruction.txt,https://raw.githubusercontent.com/tzmhuang/M2W2_answers/refs/heads/main/answers/develop_meal_plan/SearchGPT/1
11,search_onshow_movie,Perplexity_AI,1,https://raw.githubusercontent.com//tzmhuang/M2W2_answers/refs/heads/main/task_instructions/search_onshow_movie/instruction.txt,https://raw.githubusercontent.com/tzmhuang/M2W2_answers/refs/heads/main/answers/search_onshow_movie/Perplexity_AI/1
12,search_onshow_movie,SearchGPT,1,https://raw.githubusercontent.com//tzmhuang/M2W2_answers/refs/heads/main/task_instructions/search_onshow_movie/instruction.txt,https://raw.githubusercontent.com/tzmhuang/M2W2_answers/refs/heads/main/answers/search_onshow_movie/SearchGPT/1
13,find_supermarket,Perplexity_AI,1,https://raw.githubusercontent.com//tzmhuang/M2W2_answers/refs/heads/main/task_instructions/find_supermarket/instruction.txt,https://raw.githubusercontent.com/tzmhuang/M2W2_answers/refs/heads/main/answers/find_supermarket/Perplexity_AI/1
14,find_supermarket,SearchGPT,1,https://raw.githubusercontent.com//tzmhuang/M2W2_answers/refs/heads/main/task_instructions/find_supermarket/instruction.txt,https://raw.githubusercontent.com/tzmhuang/M2W2_answers/refs/heads/main/answers/find_supermarket/SearchGPT/1
